,Country,co2,debt,PM2.5,secondary_school,high_school,total_tax
0,Aruba,7.25,4.5037593984962445,4.7044999999999995,5.136153846153848,8.21,4.708760683760684
1,Afghanistan,2.18,3.97,9.63,1.46,5.160818713450294,3.94
2,Angola,2.69,4.07,6.08,5.136153846153848,8.85,6.67
3,Albania,2.97,4.0,2.89,6.95,1.3900000000000006,4.708760683760684
4,Andorra,5.7,4.5037593984962445,1.55,5.136153846153848,5.160818713450294,4.708760683760684
5,Arab World,4.86,4.5037593984962445,9.16,3.1,6.890000000000001,4.91
6,United Arab Emirates,9.92,4.5037593984962445,7.1,5.136153846153848,5.160818713450294,1.3
7,Argentina,4.73,4.5037593984962445,2.11,8.2,0.6099999999999994,9.99
8,Armenia,3.06,4.0,6.14,5.52,4.13,3.99
9,American Samoa,4.586454183266931,4.5037593984962445,1.88,5.136153846153848,5.160818713450294,4.708760683760684
10,Antigua and Barbuda,5.34,4.5037593984962445,3.04,5.136153846153848,5.160818713450294,4.8
11,Australia,9.73,4.5037593984962445,1.32,5.136153846153848,5.160818713450294,5.85
12,Austria,6.66,4.5037593984962445,1.87,7.37,0.6400000000000006,6.57
13,Azerbaijan,4.27,4.0,3.36,5.136153846153848,7.63,4.62
14,Burundi,2.04,3.96,7.17,0.31,9.14,5.51
15,Belgium,7.44,4.5037593984962445,1.86,9.99,1.08,7.44
16,Benin,2.32,3.97,5.37,1.53,8.23,7.34
17,Burkina Faso,2.11,3.97,5.78,0.19,9.13,4.87
18,Bangladesh,2.25,4.1,9.79,1.75,5.160818713450294,3.91
19,Bulgaria,5.4,4.18,3.1,7.67,1.7599999999999998,2.67
20,Bahrain,9.99,4.5037593984962445,9.84,7.07,5.08,1.19
21,"Bahamas, The",6.7,4.5037593984962445,2.88,5.136153846153848,5.160818713450294,6.04
22,Bosnia and Herzegovina,5.83,4.02,5.15,5.136153846153848,5.160818713450294,2.06
23,Belarus,6.26,4.13,3.02,8.03,0.21000000000000085,6.35
24,Belize,2.82,3.96,4.44,4.64,7.3,3.25
25,Bermuda,6.46,4.5037593984962445,1.78,3.75,6.57,4.708760683760684
26,Bolivia,3.01,3.99,4.17,5.33,5.160818713450294,9.57
27,Brazil,3.42,6.08,1.96,7.74,3.9699999999999998,8.39
28,Barbados,5.18,4.5037593984962445,4.2,5.136153846153848,5.160818713450294,3.79
29,Brunei Darussalam,9.93,4.5037593984962445,0.96,7.99,7.3,1.39
30,Bhutan,2.66,3.96,7.53,3.81,8.73,3.9
31,Botswana,3.4,3.97,3.91,5.136153846153848,5.160818713450294,2.44
32,Central African Republic,2.06,3.96,8.83,5.136153846153848,5.160818713450294,9.01
33,Canada,9.54,4.5037593984962445,1.07,8.54,1.6199999999999992,1.8
34,Central Europe and the Baltics,6.0,4.5037593984962445,2.75,7.77,1.8000000000000007,4.54
35,Switzerland,5.08,4.5037593984962445,1.55,7.32,2.6799999999999997,2.92
